delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_minutes,expected_time_minutes,delayed,delivery_status,delivery_rating,delivery_cost,Traffic_Level,Peak_Hour,Rider_Workload,ETA_Minutes,Delay_Risk,Delivery_Intelligence_Score
250.99,ekart,cosmetics,Bike,Priority,central,rainy,7.43,5.52,21,21,yes,failed,1,79.44,Low,No,3,21,Low,97
250.99,delhivery,automobile parts,Bike,Priority,south,hot,5.59,3.57,34,26,yes,failed,1,72.72,High,No,5,26,Medium,74
250.99,fedex,furniture,EV Scooter,Instant,central,rainy,9.74,1.62,36,29,no,delivered,5,97.92,Low,Yes,5,29,Medium,81
250.99,amazon logistics,clothing,Bike,Scheduled,central,stormy,4.1,2.26,23,19,yes,delayed,2,52.8,Medium,No,2,19,Medium,90
250.99,delhivery,documents,Bike,Scheduled,east,clear,5.74,1.37,31,26,no,delivered,4,73.92,High,No,1,26,Medium,84
250.99,amazon logistics,furniture,EV Scooter,Scheduled,north,rainy,8.38,0.44,37,30,yes,delayed,2,95.04,High,Yes,4,30,Medium,77
250.99,amazon logistics,electronics,Scooter,Instant,central,hot,6.38,3.02,20,19,no,delivered,5,71.04,Low,No,2,19,Low,96
250.99,ekart,documents,EV Scooter,Instant,east,rainy,8.69,4.62,38,30,no,delivered,3,97.52,High,Yes,5,30,Medium,74
250.99,shadowfax,clothing,Scooter,Priority,south,foggy,5.98,1.56,24,19,no,delivered,4,67.84,Low,No,5,19,Medium,85
250.99,blue dart,automobile parts,Scooter,Priority,north,foggy,7.19,6.6,34,29,no,delivered,5,85.52,High,No,1,29,Medium,84
250.99,xpressbees,groceries,EV Scooter,Instant,south,rainy,0.94,3.03,27,21,yes,delayed,3,35.52,High,Yes,5,21,Medium,78
250.99,xpressbees,fragile items,Bike,Scheduled,west,stormy,2.67,0.69,23,17,no,delivered,5,41.36,Medium,No,3,17,Medium,85
250.99,dhl,furniture,Scooter,Scheduled,east,rainy,3.25,7.4,28,25,no,delivered,3,54,High,Yes,2,25,Low,87
250.99,delhivery,furniture,Scooter,Instant,north,stormy,1.26,7.9,22,14,no,delivered,4,30.08,Medium,No,4,14,Medium,80
250.99,ecom express,automobile parts,Scooter,Instant,west,hot,2.71,5.07,26,20,no,delivered,4,41.68,Medium,Yes,2,20,Medium,86
250.99,fedex,cosmetics,EV Scooter,Instant,south,hot,1.46,6.47,20,19,no,delivered,3,39.68,High,No,3,19,Low,90
250.99,ecom express,documents,Bike,Scheduled,north,rainy,3.14,7.75,35,25,no,delivered,4,53.12,High,Yes,5,25,High,70
250.99,xpressbees,documents,Bike,Instant,west,hot,6.54,6.25,34,28,yes,failed,1,80.32,High,No,5,28,Medium,78
250.99,amazon logistics,pharmacy,EV Scooter,Priority,west,hot,3.97,2.99,20,22,no,delivered,4,51.76,Medium,Yes,1,22,Low,100
250.99,xpressbees,electronics,EV Scooter,Scheduled,central,stormy,4.02,6.82,23,15,no,delivered,5,52.16,Low,No,4,15,Medium,80
250.99,blue dart,clothing,EV Scooter,Scheduled,north,hot,2.49,4.88,30,23,yes,delayed,2,47.92,High,Yes,5,23,Medium,76
250.99,dhl,electronics,Bike,Priority,south,foggy,3.04,4.97,30,21,no,delivered,4,52.32,High,No,4,21,High,73
250.99,fedex,cosmetics,EV Scooter,Priority,south,clear,9.4,3.96,32,30,no,delivered,4,103.2,High,No,1,30,Low,90
250.99,fedex,groceries,EV Scooter,Instant,east,stormy,6.66,0.46,24,24,no,delivered,5,73.28,Medium,No,2,24,Low,98
250.99,delhivery,electronics,EV Scooter,Instant,central,cold,6.29,3.05,25,23,no,delivered,5,70.32,Medium,No,3,23,Low,93
250.99,fedex,cosmetics,Bike,Scheduled,north,foggy,2.13,4.77,15,12,no,delivered,5,37.04,Low,No,3,12,Low,91
250.99,blue dart,pharmacy,Scooter,Scheduled,west,stormy,7.43,4.5,30,24,no,delivered,5,79.44,Low,Yes,3,24,Medium,85
250.99,xpressbees,cosmetics,EV Scooter,Scheduled,east,hot,2.05,2.97,23,19,no,delivered,4,36.4,Medium,Yes,2,19,Medium,90
250.99,xpressbees,clothing,Bike,Scheduled,east,cold,4.1,6.51,17,15,no,delivered,5,52.8,Low,No,3,15,Low,93
250.99,ecom express,fragile items,Scooter,Scheduled,central,foggy,9.9,7.32,37,30,no,delivered,5,99.2,Medium,No,4,30,Medium,82
250.99,xpressbees,clothing,Bike,Scheduled,west,rainy,6.58,6.77,27,20,no,delivered,3,72.64,Low,No,1,20,Medium,85
250.99,dhl,pharmacy,Scooter,Scheduled,north,stormy,5.79,1.26,25,18,yes,delayed,2,66.32,Low,No,5,18,Medium,81
250.99,ecom express,pharmacy,EV Scooter,Priority,east,hot,7,6.76,38,30,yes,delayed,2,84,High,Yes,2,30,Medium,77
250.99,dhl,clothing,Scooter,Priority,west,hot,8.51,2.71,29,26,no,delivered,5,88.08,Low,Yes,5,26,Low,89
250.99,ekart,groceries,Bike,Instant,north,stormy,7.87,5.88,31,30,no,delivered,4,90.96,High,No,2,30,Low,91
250.99,ecom express,electronics,Scooter,Instant,east,cold,2.68,4.12,27,24,yes,failed,2,49.44,High,Yes,5,24,Low,84
250.99,dhl,furniture,EV Scooter,Scheduled,east,rainy,0.8,7.26,11,13,no,delivered,4,26.4,Medium,No,3,13,Low,100
250.99,delhivery,cosmetics,EV Scooter,Instant,north,rainy,3.5,7.48,25,22,yes,delayed,2,56,High,No,2,22,Low,87
250.99,fedex,documents,Scooter,Scheduled,central,cold,3.04,6.75,26,20,no,delivered,5,44.32,Medium,Yes,1,20,Medium,87
250.99,amazon logistics,furniture,Bike,Priority,south,rainy,2.5,6.97,14,16,no,delivered,3,40,Low,Yes,1,16,Low,100
250.99,blue dart,automobile parts,EV Scooter,Scheduled,south,hot,9.46,4.71,38,28,no,delivered,5,95.68,Low,Yes,1,28,High,79
250.99,fedex,documents,EV Scooter,Instant,north,rainy,8.83,1.65,28,28,yes,delayed,3,90.64,Medium,No,1,28,Low,99
250.99,blue dart,documents,Scooter,Scheduled,north,hot,3.49,4.13,28,21,yes,delayed,3,47.92,Medium,Yes,1,21,Medium,85
250.99,xpressbees,clothing,EV Scooter,Priority,north,cold,6.73,5.57,22,23,no,delivered,4,73.84,Low,Yes,2,23,Low,100
250.99,fedex,furniture,EV Scooter,Priority,west,cold,4.26,5.53,27,19,no,delivered,4,54.08,Low,Yes,4,19,Medium,80
250.99,ekart,clothing,Bike,Priority,south,stormy,9.19,3.34,39,30,yes,delayed,3,101.52,High,Yes,5,30,High,72
250.99,ekart,fragile items,Scooter,Priority,east,rainy,4.86,2.06,35,25,no,delivered,4,66.88,High,No,3,25,High,72
250.99,shadowfax,documents,EV Scooter,Instant,west,foggy,3.02,5.29,27,17,no,delivered,4,44.16,Medium,No,4,17,High,76
250.99,xpressbees,pharmacy,EV Scooter,Priority,south,hot,2.84,5.47,26,16,yes,delayed,2,42.72,Low,Yes,4,16,High,76
250.99,ecom express,clothing,Bike,Scheduled,east,stormy,5.83,5.56,24,26,yes,delayed,3,74.64,High,No,3,26,Low,96
250.99,dhl,documents,Bike,Priority,east,rainy,3,3.76,23,17,no,delivered,5,44,Medium,No,2,17,Medium,86
250.99,blue dart,clothing,EV Scooter,Priority,central,stormy,6.05,6.78,32,26,yes,failed,2,68.4,Medium,Yes,1,26,Medium,87
250.99,amazon logistics,furniture,Scooter,Priority,central,cold,9.03,3.54,33,30,no,delivered,4,92.24,Medium,Yes,3,30,Low,91
250.99,shadowfax,electronics,EV Scooter,Priority,south,clear,4.29,1.88,34,24,no,delivered,4,62.32,High,No,3,24,High,72
250.99,xpressbees,electronics,Scooter,Instant,south,stormy,2.58,1.81,21,17,no,delivered,4,40.64,Medium,No,1,17,Medium,91
250.99,delhivery,furniture,Scooter,Scheduled,east,stormy,9.98,0.23,24,26,no,delivered,4,99.84,Low,No,5,26,Low,99
250.99,ekart,furniture,Bike,Scheduled,south,cold,5.34,0.78,27,22,no,delivered,3,62.72,Medium,No,1,22,Medium,89
250.99,xpressbees,documents,Bike,Scheduled,east,rainy,1.36,0.87,19,13,no,delivered,4,30.88,Low,Yes,5,13,Medium,83
250.99,amazon logistics,groceries,EV Scooter,Priority,east,rainy,0.95,7.81,16,18,yes,delayed,3,35.6,High,No,5,18,Low,94
250.99,dhl,groceries,Scooter,Scheduled,east,foggy,1.54,5.93,23,14,no,delivered,5,32.32,Low,Yes,4,14,High,78
250.99,amazon logistics,cosmetics,Bike,Priority,east,rainy,6.46,7.74,30,27,no,delivered,4,71.68,Medium,Yes,1,27,Low,93
250.99,amazon logistics,furniture,Scooter,Scheduled,central,cold,8.02,2.98,29,30,no,delivered,5,92.16,High,No,2,30,Low,95
250.99,dhl,fragile items,EV Scooter,Instant,north,hot,4.51,6.67,28,20,no,delivered,4,56.08,Medium,No,1,20,Medium,83
250.99,ecom express,clothing,Scooter,Priority,west,foggy,1.1,6.4,16,13,no,delivered,4,28.8,Low,Yes,1,13,Low,93
250.99,ekart,clothing,EV Scooter,Scheduled,east,foggy,4.13,1.67,18,18,no,delivered,5,53.04,Low,Yes,3,18,Low,97
250.99,ekart,groceries,Bike,Priority,west,clear,9.96,4.84,40,30,no,delivered,5,107.68,High,No,2,30,High,73
250.99,xpressbees,electronics,EV Scooter,Scheduled,east,clear,5.53,3.12,27,21,yes,delayed,2,64.24,Low,Yes,1,21,Medium,87
250.99,shadowfax,cosmetics,EV Scooter,Scheduled,west,stormy,9.73,6.68,38,30,no,delivered,5,105.84,High,Yes,2,30,Medium,77
250.99,blue dart,groceries,Scooter,Priority,west,stormy,8.68,3.27,35,28,yes,delayed,2,89.44,Medium,No,5,28,Medium,81
250.99,amazon logistics,groceries,Bike,Priority,west,hot,0.61,3.43,10,12,no,delivered,5,24.88,Low,Yes,5,12,Low,99
250.99,blue dart,furniture,Scooter,Scheduled,east,clear,7.35,0.75,24,24,no,delivered,4,78.8,Low,Yes,1,24,Low,99
250.99,amazon logistics,electronics,EV Scooter,Scheduled,central,clear,6.98,2.91,39,29,no,delivered,5,83.84,High,No,1,29,High,74
250.99,delhivery,groceries,EV Scooter,Priority,south,stormy,5.6,3.5,19,18,no,delivered,5,64.8,Low,No,2,18,Low,96
250.99,amazon logistics,automobile parts,Bike,Scheduled,west,clear,3.03,6.81,26,17,no,delivered,5,44.24,Medium,No,4,17,High,78
250.99,amazon logistics,pharmacy,EV Scooter,Instant,south,cold,6.59,3.89,32,24,no,delivered,4,72.72,Medium,No,5,24,Medium,79
250.99,amazon logistics,pharmacy,Scooter,Scheduled,west,foggy,1.56,6.41,24,18,no,delivered,5,32.48,Medium,Yes,4,18,Medium,84
250.99,shadowfax,furniture,Bike,Scheduled,central,stormy,4.63,5.96,27,27,no,delivered,5,65.04,High,Yes,5,27,Low,90
250.99,fedex,furniture,Scooter,Instant,north,hot,4.81,1.8,26,24,no,delivered,4,58.48,Medium,Yes,3,24,Low,93
250.99,xpressbees,automobile parts,EV Scooter,Scheduled,west,stormy,9.56,2.4,28,28,yes,failed,2,96.48,Low,Yes,5,28,Low,95
250.99,ekart,automobile parts,Scooter,Priority,east,clear,8.82,4.03,34,30,no,delivered,4,98.56,High,Yes,5,30,Medium,82
250.99,amazon logistics,groceries,Scooter,Scheduled,south,rainy,3,2.05,31,24,yes,failed,2,52,High,Yes,3,24,Medium,78
250.99,shadowfax,automobile parts,Scooter,Instant,south,foggy,5.26,0.33,34,28,no,delivered,4,70.08,High,Yes,5,28,Medium,78
250.99,fedex,electronics,EV Scooter,Priority,west,clear,2.2,3.43,21,23,no,delivered,3,45.6,High,Yes,4,23,Low,95
250.99,fedex,documents,Scooter,Priority,central,stormy,9.17,2.1,33,30,yes,failed,1,101.36,High,Yes,1,30,Low,88
250.99,shadowfax,documents,Bike,Priority,south,clear,8.77,6.9,39,30,no,delivered,5,98.16,High,Yes,5,30,High,72
250.99,delhivery,cosmetics,Bike,Scheduled,south,clear,3.34,3.53,28,18,no,delivered,3,46.72,Medium,No,1,18,High,79
250.99,blue dart,pharmacy,Bike,Scheduled,central,hot,6.57,5.7,25,24,no,delivered,5,72.56,Medium,No,3,24,Low,95
250.99,ekart,furniture,Scooter,Priority,west,clear,6.29,1.19,35,27,no,delivered,4,78.32,High,No,4,27,Medium,75
250.99,blue dart,documents,EV Scooter,Instant,west,clear,1.95,5.09,28,23,no,delivered,4,43.6,High,Yes,1,23,Medium,84
250.99,dhl,furniture,Bike,Scheduled,east,foggy,7.74,3.75,40,30,no,delivered,4,89.92,High,Yes,5,30,High,70
250.99,xpressbees,documents,EV Scooter,Scheduled,north,cold,5.62,1.11,32,29,no,delivered,4,72.96,High,Yes,3,29,Low,86
250.99,shadowfax,furniture,EV Scooter,Scheduled,north,rainy,7.9,3.76,33,29,yes,delayed,3,83.2,Medium,Yes,3,29,Medium,89
250.99,fedex,groceries,EV Scooter,Instant,north,foggy,5.54,7.49,24,26,no,delivered,5,72.32,High,No,2,26,Low,97
250.99,amazon logistics,fragile items,Scooter,Priority,south,hot,0.51,2.21,14,10,no,delivered,3,24.08,Low,No,3,10,Medium,89
250.99,shadowfax,cosmetics,Bike,Scheduled,north,cold,3.58,7.71,30,21,no,delivered,4,48.64,Medium,Yes,5,21,High,77
250.99,delhivery,clothing,Bike,Instant,east,rainy,0.69,2.8,22,13,no,delivered,4,25.52,Medium,No,2,13,High,80
250.99,xpressbees,automobile parts,EV Scooter,Scheduled,north,clear,9.33,7.74,30,30,no,delivered,4,94.64,Medium,Yes,5,30,Low,95
250.99,shadowfax,pharmacy,EV Scooter,Instant,central,rainy,8.85,0.72,40,30,no,delivered,5,90.8,Medium,Yes,1,30,High,79
250.99,shadowfax,groceries,Scooter,Scheduled,east,hot,8.4,5.09,30,30,no,delivered,3,95.2,High,Yes,3,30,Low,92
250.99,shadowfax,furniture,EV Scooter,Instant,north,foggy,3.42,3.37,31,22,no,delivered,4,55.36,High,No,5,22,High,72
250.99,fedex,clothing,Scooter,Instant,north,cold,1.05,4.46,25,17,yes,failed,1,28.4,Medium,Yes,2,17,Medium,82
250.99,delhivery,electronics,Bike,Scheduled,north,foggy,8.84,1.62,39,30,no,delivered,4,98.72,High,Yes,2,30,High,75
250.99,shadowfax,groceries,EV Scooter,Instant,west,foggy,9.5,4.15,35,30,no,delivered,4,96,Medium,Yes,4,30,Medium,86
250.99,amazon logistics,fragile items,Scooter,Scheduled,west,hot,1.31,5.18,15,13,no,delivered,3,30.48,Low,Yes,3,13,Low,93
250.99,ekart,groceries,Bike,Scheduled,east,cold,5.12,3.24,18,17,no,delivered,5,60.96,Low,No,4,17,Low,94
250.99,shadowfax,groceries,Scooter,Instant,west,hot,1.16,1.16,19,13,no,delivered,5,29.28,Low,Yes,4,13,Medium,84
250.99,delhivery,automobile parts,Bike,Priority,north,rainy,7.73,1.42,40,30,no,delivered,4,89.84,High,No,3,30,High,72
250.99,dhl,automobile parts,Bike,Priority,south,rainy,7.78,2.33,33,30,no,delivered,4,90.24,High,Yes,1,30,Low,88
250.99,dhl,furniture,Bike,Priority,north,clear,1.72,3.46,19,11,no,delivered,3,33.76,Low,No,5,11,Medium,79
250.99,ecom express,electronics,Bike,Instant,east,stormy,5.02,0.28,31,25,yes,delayed,2,68.16,High,No,3,25,Medium,80
250.99,blue dart,cosmetics,Scooter,Priority,north,cold,5.72,7.05,29,26,no,delivered,4,73.76,High,No,2,26,Low,87
250.99,ekart,cosmetics,EV Scooter,Priority,west,rainy,3.02,0.9,30,20,no,delivered,5,44.16,Medium,Yes,3,20,High,77
250.99,dhl,automobile parts,Scooter,Priority,east,rainy,8.79,6.15,37,30,yes,delayed,2,98.32,High,Yes,3,30,Medium,78
250.99,ecom express,automobile parts,Scooter,Scheduled,west,cold,4.52,6.95,26,24,no,delivered,3,64.16,High,No,4,24,Low,87
250.99,amazon logistics,pharmacy,Scooter,Instant,east,clear,2.51,7.55,23,16,no,delivered,5,40.08,Low,Yes,4,16,Medium,82
250.99,delhivery,electronics,Bike,Scheduled,north,rainy,5.62,4.54,29,22,no,delivered,3,64.96,Medium,No,4,22,Medium,82
250.99,ekart,documents,EV Scooter,Scheduled,south,foggy,7.43,6.47,26,24,no,delivered,4,79.44,Low,Yes,4,24,Low,92
250.99,amazon logistics,cosmetics,Scooter,Priority,north,cold,2.41,3.72,28,19,no,delivered,4,39.28,Medium,Yes,2,19,High,80
250.99,delhivery,pharmacy,Scooter,Instant,north,cold,3.46,6.76,31,21,yes,delayed,3,47.68,Medium,Yes,1,21,High,79
250.99,amazon logistics,groceries,Bike,Instant,central,cold,9.95,3.11,33,30,no,delivered,4,107.6,High,No,1,30,Low,88
250.99,ekart,groceries,EV Scooter,Instant,central,cold,6.67,3.92,37,27,no,delivered,3,73.36,Medium,Yes,1,27,High,79
250.99,ecom express,cosmetics,Bike,Priority,north,clear,4.66,4.79,28,23,no,delivered,4,57.28,Medium,Yes,4,23,Medium,86
250.99,ekart,groceries,EV Scooter,Instant,east,clear,5.42,2.3,26,22,no,delivered,3,63.36,Medium,No,5,22,Medium,87
250.99,dhl,clothing,Scooter,Priority,south,cold,1.65,6.04,17,14,no,delivered,4,33.2,Low,Yes,2,14,Low,92
250.99,shadowfax,automobile parts,Scooter,Instant,east,foggy,2.63,4.61,25,21,yes,delayed,2,49.04,High,No,4,21,Medium,83
250.99,blue dart,groceries,EV Scooter,Instant,west,clear,3.71,2.21,13,15,yes,failed,2,49.68,Low,No,5,15,Low,99
250.99,shadowfax,documents,Bike,Instant,south,stormy,6.09,0.32,37,30,yes,delayed,2,76.72,High,Yes,1,30,Medium,80
250.99,fedex,electronics,Bike,Scheduled,central,cold,2.69,7.72,21,20,no,delivered,3,41.52,Medium,Yes,2,20,Low,96
250.99,amazon logistics,furniture,EV Scooter,Priority,north,hot,2.59,0.36,21,20,no,delivered,4,40.72,Medium,Yes,3,20,Low,95
250.99,ecom express,automobile parts,Bike,Priority,east,foggy,1.17,3.92,12,14,no,delivered,4,29.36,Medium,No,2,14,Low,100
250.99,shadowfax,clothing,EV Scooter,Instant,west,rainy,6.5,3.53,35,27,no,delivered,4,72,Medium,Yes,1,27,Medium,83
250.99,dhl,documents,Bike,Priority,east,hot,2.67,7.6,32,24,no,delivered,4,49.36,High,Yes,1,24,Medium,78
250.99,dhl,clothing,Bike,Priority,west,clear,9.1,7.98,26,28,no,delivered,4,92.8,Medium,No,5,28,Low,99
250.99,dhl,electronics,EV Scooter,Priority,west,clear,8.67,0.59,28,27,no,delivered,4,89.36,Low,Yes,2,27,Low,96
250.99,amazon logistics,pharmacy,Scooter,Priority,north,hot,1.17,7.73,17,10,no,delivered,4,29.36,Low,No,3,10,Medium,83
250.99,ekart,documents,Bike,Instant,west,rainy,2.76,3.89,27,17,yes,delayed,2,42.08,Medium,No,3,17,High,77
250.99,blue dart,cosmetics,Scooter,Instant,south,clear,6.86,7.96,28,30,no,delivered,4,82.88,High,Yes,4,30,Low,95
250.99,dhl,groceries,EV Scooter,Scheduled,north,cold,2.54,5.19,18,20,no,delivered,3,40.32,Medium,Yes,2,20,Low,100
250.99,delhivery,pharmacy,Scooter,Scheduled,east,stormy,1.76,5.51,22,18,yes,failed,1,34.08,Medium,Yes,3,18,Medium,89
250.99,delhivery,electronics,Bike,Instant,west,hot,9.39,1.98,35,28,no,delivered,5,95.12,Low,Yes,1,28,Medium,85
250.99,delhivery,documents,Bike,Priority,south,hot,5.92,2.45,32,27,no,delivered,5,75.36,High,No,5,27,Medium,80
250.99,xpressbees,groceries,Scooter,Priority,north,hot,4.99,3.46,16,17,no,delivered,5,59.92,Low,No,3,17,Low,99
250.99,xpressbees,electronics,EV Scooter,Scheduled,central,hot,7.95,0.96,32,25,no,delivered,5,83.6,Low,Yes,2,25,Medium,84
250.99,xpressbees,groceries,Bike,Scheduled,central,hot,8.17,6.8,40,30,yes,delayed,2,85.36,Medium,Yes,1,30,High,79
250.99,fedex,furniture,EV Scooter,Scheduled,east,stormy,2.31,2.76,18,15,no,delivered,4,38.48,Low,Yes,1,15,Low,93
250.99,xpressbees,groceries,Bike,Priority,south,clear,1.42,2.81,10,11,no,delivered,4,31.36,Low,No,5,11,Low,97
250.99,blue dart,furniture,Bike,Instant,central,hot,4.59,6.71,29,20,no,delivered,4,56.72,Medium,No,5,20,High,77
250.99,ecom express,fragile items,Bike,Priority,south,foggy,4.52,2.23,28,19,yes,delayed,3,56.16,Low,Yes,4,19,High,78
250.99,fedex,cosmetics,Scooter,Priority,south,stormy,4.94,0.43,31,21,no,delivered,5,59.52,Medium,No,2,21,High,78
250.99,ecom express,electronics,EV Scooter,Priority,south,rainy,7.43,1.27,31,30,no,delivered,4,87.44,High,Yes,4,30,Low,89
250.99,blue dart,pharmacy,EV Scooter,Priority,east,hot,6.9,3.63,22,20,no,delivered,3,75.2,Low,No,2,20,Low,94
250.99,fedex,automobile parts,EV Scooter,Instant,west,hot,9.85,6.5,31,29,no,delivered,5,98.8,Low,Yes,2,29,Low,94
250.99,xpressbees,fragile items,Bike,Instant,south,stormy,1.43,5.87,26,19,no,delivered,4,39.44,High,No,2,19,Medium,79
250.99,fedex,documents,Bike,Instant,north,rainy,4.32,0.62,24,23,yes,delayed,3,54.56,Medium,Yes,3,23,Low,95
250.99,fedex,fragile items,EV Scooter,Priority,central,foggy,3.72,3.02,21,23,yes,failed,2,57.76,High,No,1,23,Low,98
250.99,blue dart,fragile items,EV Scooter,Scheduled,north,rainy,8.69,0.7,31,24,no,delivered,4,89.52,Low,No,1,24,Medium,85
250.99,dhl,groceries,Bike,Priority,east,stormy,2.86,1.99,26,17,no,delivered,3,42.88,Medium,No,2,17,High,80
250.99,ekart,fragile items,Scooter,Priority,north,clear,2.31,0.43,23,19,no,delivered,4,38.48,Medium,Yes,4,19,Medium,88
250.99,ekart,pharmacy,Bike,Instant,west,foggy,4.76,4.21,20,21,no,delivered,3,58.08,Medium,No,2,21,Low,100
250.99,xpressbees,cosmetics,Bike,Instant,south,cold,4.51,5.29,26,19,no,delivered,5,56.08,Low,Yes,1,19,Medium,85
250.99,shadowfax,cosmetics,Scooter,Scheduled,north,rainy,3.15,1.98,26,21,no,delivered,4,45.2,Medium,Yes,4,21,Medium,86
250.99,shadowfax,fragile items,EV Scooter,Scheduled,north,foggy,2.87,2.94,27,20,no,delivered,3,42.96,Medium,Yes,1,20,Medium,85
250.99,dhl,automobile parts,Scooter,Instant,east,foggy,9.27,1.07,36,30,no,delivered,4,94.16,Medium,Yes,2,30,Medium,86
250.99,ecom express,fragile items,EV Scooter,Scheduled,north,cold,4.71,6.19,21,23,no,delivered,4,57.68,Medium,Yes,2,23,Low,100
250.99,delhivery,groceries,Scooter,Instant,east,cold,8.68,5.17,39,30,no,delivered,5,89.44,Medium,Yes,2,30,High,80
250.99,dhl,pharmacy,EV Scooter,Scheduled,central,cold,5.73,2.72,21,21,yes,delayed,2,65.84,Low,Yes,4,21,Low,96
250.99,blue dart,pharmacy,Scooter,Priority,south,stormy,0.98,5.56,11,13,yes,delayed,2,27.84,Low,Yes,3,13,Low,100
250.99,dhl,fragile items,EV Scooter,Scheduled,central,foggy,9.99,6.51,30,30,no,delivered,5,99.92,Medium,No,5,30,Low,95
